Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_1	84936000	25415000	17228000	20618000	10659000	11718000
protein_2	14061000000	13198000000	12154000000	6786200000	8886600000	6996300000
protein_3	6108400	658110	8289700	1190400	42510000	946240
protein_4	0	0	0	17913000	13108000	12714000
protein_5	917220	4495000	555130	125290000	73548000	112030000
protein_6	0	3439900	3796100	7710300	18011000	9443000
protein_7	97264000	18617000	570590000	187150000	3799000000	194720000
protein_8	1394900000	901580000	602550000	632300000	683600000	786330000
protein_9	5416900	414390	4282300	1048100	11550000	1062500
protein_10	37404000	11775000	519550000	67113000	4885100000	154460000
protein_11	3558400	532770	42070000	2747200	430020000	458010
protein_12	19717000	4647300	33368000	61778000	90620000	27290000
protein_13	16772000	0	0	0	61183000	157200000
protein_14	34139000	5845000	665720000	61530000	3530800000	87834000
protein_15	47299000	4012600	0	42900000	11444000	24166000
protein_16	0	0	2971500	7480200	69937000	10335000
protein_17	36453000	18050000	20339000	29257000	16165000	14525000
protein_18	11975000	2753700	3777200	6016000	11661000	14120000
protein_19	149500000	61273000	51158000	28668000	49081000	39955000
protein_20	15085000	168080	8158500	0	119580000	17911000
protein_21	0	0	952430	21144000	15956000	95130000
protein_22	29648000	15573000	9801700	11077000	8742500	5722000
protein_23	39415000	7051400	6983900	5095300	15145000	8550900
protein_24	2036200	1852600	6695100	8803600	3356300	18489000
protein_25	35390000	25957000	27754000	46273000	36411000	99152000
protein_26	158130000	36897000	95363000	251200000	179480000	458480000
protein_27	43592000	24190000	18723000	25860000	54590000	56586000
protein_28	58781000	14003000	42985000	68267000	49751000	155970000
protein_29	132110000	22639000	86475000	167850000	121290000	348140000
protein_30	13561000	3719000	8226100	5200400	9037700	7308100
protein_31	0	0	75196	8544900	20384000	36844000
protein_32	261100000	60263000	168920000	410160000	330950000	969060000
protein_33	8507000	11413000	42094000	27538000	45321000	23458000
protein_34	105010000	32891000	106720000	72579000	61829000	195500000
protein_35	6733500	1040200	5790200	13809000	6075900	38521000
protein_36	69568000	18014000	59721000	151920000	148830000	379840000
protein_37	220820000	57024000	49168000	72064000	123330000	172910000
protein_38	2937000	503460	3716000	11041000	7770300	24326000
protein_39	3649700	255000	1221000	25674000	17441000	39259000
protein_40	25329000	4375100	8322400	27203000	42145000	32775000
protein_41	23750000	8880000	28142000	148530000	91501000	236180000
protein_42	1489500000	255160000	542080000	4666000000	3536000000	7321200000
protein_43	10381000	4141100	53383000	42974000	50282000	155740000
protein_44	8973500	3249700	4592300	1240200	5933300	4395000
protein_45	128460000	23602000	68953000	7566300	2387700	10102000
protein_46	135740000	30314000	79287000	4481200	74725000	150740000
protein_47	208910000	71004000	147080000	11393000	14687000	14607000
protein_48	81894000	24726000	49003000	123820000	159810000	179050000
protein_49	44513000	22493000	16417000	30780000	28290000	72287000
protein_50	3340800	474010	4293100	52356000	24309000	106020000
protein_51	25902000	10862000	29366000	426290000	375870000	934770000
protein_52	266700	0	1610200	11632000	5525800	15381000
protein_53	3794600	351640	393750	7871500	6095900	11681000
protein_54	9570300	1027400	1761700	10561000	6957200	16000000
protein_55	111370000	17274000	69624000	6761500	955390	376690
protein_56	38429000	8401200	29788000	63265000	27369000	90374000
protein_57	4530300000	1292300000	1073000000	2762600000	2997900000	2951600000
protein_58	91240000	15966000	62254000	114380000	57413000	207650000
protein_59	199550000	23326000	46626000	161920000	137720000	150730000
protein_60	1765300000	343490000	701270000	498270000	418700000	803490000
protein_61	145180000	35947000	52675000	109190000	75600000	125050000
protein_62	5999700	3320200	2128300	12790000	17582000	16045000
protein_63	43399000	6208400	5974500	5555800	14836000	5028900
protein_64	334820000	67943000	164770000	130880000	176420000	204660000
protein_65	27499000	8052100	0	80311000	50281000	110970000
protein_66	1221000000	1112000000	1030000000	2369900	1549300	1821600
protein_67	33239000	7611000	23279000	109140000	81392000	258450000
protein_68	30702000	11214000	11644000	9635800	17556000	15105000
protein_69	143360000	23338000	84515000	146710000	150740000	380070000
protein_70	78426000	17602000	17121000	70495000	157930000	95566000
protein_71	128730000	58949000	59127000	82842000	93397000	102710000
protein_72	31295000	5586300	17292000	50634000	26129000	111220000
protein_73	13960000	2184600	5220000	37985000	44584000	51215000
protein_74	166770000	35701000	83598000	82486000	66543000	179830000
protein_75	0	551370	730360	6810900	12209000	11066000
protein_76	13298000	4355000	8313600	64313000	51679000	120840000
protein_77	6169200	2061000	3855700	14929000	9264500	33209000
protein_78	6112100	1401800	5479600	8887600	6155400	16619000
protein_79	2068100	0	189370	28550000	19321000	22635000
protein_80	138150000	37219000	45031000	72536000	62985000	77603000
protein_81	5076300	0	0	8406900	9868000	24972000
protein_82	7746900	443070	33072000	8780300	7904800	13591000
protein_83	13621000000	3392400000	8368700000	2159500000	1498500000	3575000000
protein_84	137130000	18354000	36862000	6428500	344680	0
protein_85	67732000	9509400	13236000	1509800	5005300	1400000
protein_86	773300000	153870000	492940000	128140000	75538000	232740000
protein_87	1374500000	313080000	906400000	652570000	473590000	1555400000
protein_88	3792000	224950	8519900	5466900	4021400	30517000
protein_89	11448000	1302800	3295800	6453300	3473700	8789900
protein_90	156310000	35215000	104420000	170320000	89028000	312170000
protein_91	48142000	17805000	36977000	46352000	25035000	100540000
protein_92	31581000	12981000	22132000	61413000	8787100	85941000
protein_93	57125000	17554000	45605000	58557000	39236000	158850000
protein_94	307760000	33872000	58767000	33292000	41306000	35744000
protein_95	2528400	1434200	7118500	6086800	5085100	11051000
protein_96	4828900	488240	3120200	12445000	7670800	17047000
protein_97	20449000	4401400	5862900	2365400	2745500	4064400
protein_98	36837000	10613000	31590000	14242000	14241000	38432000
protein_99	111770000	39030000	28688000	75321000	130070000	103700000
protein_100	8304400	2958100	557690	19724000	19481000	54179000
protein_101	476150	0	253580	1819400	105950000	2618900
protein_102	57425000	24139000	26732000	74832000	77972000	81291000
protein_103	317070000	110660000	539040000	1356700000	379460000	2123700000
protein_104	10785000	2072900	5582800	5129500	3399100	14319000
protein_105	23700000	17131000	20418000	16306000	18498000	24203000
protein_106	9040900	866030	1247700	4981300	5646000	11126000
protein_107	29087000	12351000	24494000	290390000	204550000	541880000
protein_108	32880000	21367000	17896000	55208000	38604000	55821000
protein_109	123940000	20950000	54885000	348310000	505750000	668800000
protein_110	62674000	11460000	36753000	59012000	38663000	111890000
protein_111	12076000	9808200	2773100	2898700	7116800	2925600
protein_112	18130000	2483000	12295000	4969000	1965100	8858600
protein_113	29215000	5330800	2860800	3456300	3532600	5150300
protein_114	4145300	1798700	4740500	13246000	8236200	22788000
protein_115	28979000	6779800	20253000	45011000	26425000	90639000
protein_116	800290	115870	1197900	30646000	8089900	84522000
protein_117	2626600	1250300	3691700	11993000	3742400	11594000
protein_118	3160500	3961700	6467700	6863500	2851300	53253000
protein_119	74447000	24758000	55691000	124530000	84695000	212310000
protein_120	970730000	278200000	631610000	410940000	714980000	652450000
protein_121	36148000	9564700	23392000	21722000	16072000	108630000
protein_122	135660000	17829000	83312000	107610000	81638000	185660000
protein_123	252120	476200	453340	25090000	13444000	77585000
protein_124	1217000000	168760000	603190000	2729500000	2063000000	5592900000
protein_125	135780000	67832000	48379000	52342000	84334000	42500000
protein_126	254030000	33380000	74182000	195320000	248990000	222510000
protein_127	986440000	247780000	650950000	218290000	139780000	377330000
protein_128	12075000000	4404700000	3683200000	2341100000	2227100000	2255200000
protein_129	79149000	21873000	31835000	50742000	31976000	43136000
protein_130	3496700	898400	4864000	12149000	6442200	23801000
protein_131	115020000	27780000	62226000	75445000	140910000	192040000
protein_132	8896400	1279500	2384700	3625900	6229000	7299200
protein_133	411900000	144350000	162070000	418970000	514580000	607100000
protein_134	168210000	30767000	132700000	219570000	144540000	409000000
protein_135	1373400000	391010000	782020000	1244200000	863190000	2550700000
protein_136	412320000	136060000	249290000	422350000	332390000	869940000
protein_137	53661000	11277000	37341000	22700000	15984000	29349000
protein_138	41218000	13317000	14316000	58043000	47569000	127440000
protein_139	3532500	1885900	1652300	11685000	5281100	21322000
protein_140	0	0	107120	16841000	5459400	12799000
protein_141	58545000	9958900	23629000	203510000	214570000	316710000
protein_142	2099700	3259200	3486300	4536600	5590500	8825200
protein_143	562630	1506500	551340	64277000	91009000	58712000
protein_144	18842000	4469900	14899000	4105300	3556000	13211000
protein_145	27922000	6947800	10244000	13283000	26164000	30629000
protein_146	13168000	2910700	8424700	5184100	3695800	9074000
protein_147	2861600	5055400	0	6917300	9591300	8656300
protein_148	103490000	10240000	36530000	302230000	266030000	314930000
protein_149	55449000	18434000	40236000	121670000	58370000	202590000
protein_150	517340	0	324630	83458000	653940	3593200
protein_151	898060	1152400	518120	2254200	875890	10131000
protein_152	28028000	8392700	22501000	10561000	9584300	25766000
protein_153	40703000	33983000	32641000	26588000	36253000	53720000
protein_154	6654600	4454900	20777000	10828000	4182000	23517000
protein_155	91288000	34543000	90504000	25129000	58768000	142340000
protein_156	16431000	4343300	8798300	15524000	16118000	19060000
protein_157	35881000	11414000	7859800	12321000	28878000	45666000
protein_158	237770000	62357000	136240000	277340000	223360000	520540000
protein_159	14001000	5659200	9884500	9732000	9499500	20738000
protein_160	856760	5616700	4654000	17640000	7463000	32572000
protein_161	40917000	9552000	23934000	48855000	29147000	109620000
protein_162	186310000	66339000	89690000	127760000	152490000	219610000
protein_163	21546000	4045400	21328000	22961000	12177000	45767000
protein_164	222630000	63939000	147030000	220380000	129330000	288080000
protein_165	499540000	122270000	427300000	596420000	370840000	1616400000
protein_166	10191000	2220900	9859100	24877000	9696600	28179000
protein_167	8363700	1387100	5530100	5275200	37158000	13412000
protein_168	9012500	2692900	7492800	6146600	2504400	14004000
protein_169	9400000	4098500	6215600	2133000	10081000	117050000
protein_170	273230000	66813000	114960000	136820000	201540000	302360000
protein_171	94929000	20265000	42088000	51796000	60320000	106010000
protein_172	201230000	54658000	166990000	204910000	129840000	429300000
protein_173	28040000	4918700	13784000	16599000	13184000	25168000
protein_174	1932500000	395420000	562170000	1267000000	1397200000	1981400000
protein_175	30962000	3739800	13214000	41730000	21237000	54415000
protein_176	332200000	100120000	170280000	321120000	240650000	531500000
protein_177	349940000	66143000	165160000	251960000	278730000	391150000
protein_178	17039000	3161200	20072000	20474000	21621000	68231000
protein_179	45672000	1393300	28500000	40684000	4613600	61473000
protein_180	44670000	15207000	11933000	19537000	7570300	13361000
protein_181	394060000	102270000	286230000	203210000	182670000	425050000
protein_182	252160000	44906000	148920000	153200000	174660000	325010000
protein_183	18049000	4997700	8350500	24592000	25587000	46958000
protein_184	129150000	34443000	73697000	97443000	94529000	200190000
protein_185	27044000	6626500	13274000	44566000	26034000	81156000
protein_186	5428300	1292500	4024000	10261000	13454000	31893000
protein_187	134950000	38301000	97370000	123120000	92077000	257620000
protein_188	296670000	67161000	192530000	210360000	116940000	403760000
protein_189	591680000	187560000	438610000	550510000	386410000	1245100000
protein_190	354280000	81485000	281540000	342220000	258450000	742030000
protein_191	688250000	297020000	258870000	259770000	474400000	486110000
protein_192	11316000	1289700	7044300	6715200	3263300	10347000
protein_193	631160000	163830000	466450000	645280000	400420000	1426200000
protein_194	313190000	69791000	217410000	153950000	192760000	592250000
protein_195	276280000	63607000	151750000	172740000	132920000	324830000
protein_196	1812900000	536060000	1177900000	2072600000	1417300000	3479500000
protein_197	15595000000	4583000000	6939300000	14253000000	11101000000	22582000000
protein_198	10530000	908220	2536100	8639600	5649800	17758000
protein_199	168190000	43095000	103870000	176660000	146620000	359970000
protein_200	1968100000	258740000	455940000	479560000	728610000	628470000
protein_201	19733000	2780100	11483000	54150000	43013000	51908000
protein_202	590220000	141190000	323260000	398040000	248350000	697970000
protein_203	41941000	16261000	17096000	27987000	27974000	19985000
protein_204	27234000	1275000	5156500	12570000	16289000	17697000
protein_205	362280000	23294000	129240000	59575000	63656000	70499000
protein_206	291630000	46644000	56837000	6933200	14171000	15417000
protein_207	427110	0	192310	1499400	20517000	105620000
protein_208	106970000	41741000	89475000	180970000	115190000	293670000
protein_209	67027000	21279000	49082000	122870000	71178000	255280000
protein_210	1431600	703190	2446200	1903000	1016800	27292000
protein_211	28863000	5361000	21816000	33989000	23411000	82901000
protein_212	33888000	14881000	29715000	25737000	22528000	63512000
protein_213	30393000	7509800	4013600	11387000	10156000	8747000
protein_214	14836000	3266300	4816900	7672900	3514000	10748000
protein_215	62613000	5704900	30603000	6218700	5461700	26540000
protein_216	218990000	97578000	65561000	85462000	122000000	102870000
protein_217	63386000	14682000	23888000	34887000	31297000	94495000
protein_218	4210500	2512800	2707700	7858200	13860000	13104000
protein_219	166220000	39053000	90397000	107300000	79980000	192180000
protein_220	81229000	27000000	102210000	27128000	34525000	64811000
protein_221	825080000	161350000	287700000	455980000	427140000	619360000
protein_222	24843000	5395100	10660000	10911000	13254000	22744000
protein_223	6704100	1550100	4762600	7689700	40753000	18980000
protein_224	6908200	1399500	4305500	9689800	6970500	15579000
protein_225	74719000	18947000	35389000	46172000	64228000	75365000
protein_226	10867000	1271700	8034800	4212800	4320600	6831100
protein_227	8348100	3997000	6828600	14092000	8295700	20560000
protein_228	6274500	2347700	5419100	11517000	11355000	36595000
protein_229	420420000	111090000	370240000	429300000	228850000	839220000
protein_230	243350000	40843000	107250000	140120000	133980000	258690000
protein_231	17127000	10699000	17733000	19228000	19750000	60936000
protein_232	45313000	15801000	57640000	227050000	123900000	347780000
protein_233	14604000	4623000	10625000	3883800	5110500	13112000
protein_234	233590000	68383000	154650000	212390000	235940000	451990000
protein_235	5812100	1123200	5876000	10254000	1609400	20031000
protein_236	74711000	21449000	33401000	114040000	190010000	196260000
protein_237	5537100	535030	1348800	8562100	11153000	27854000
protein_238	1942100	0	895430	1220900	1984900	40452000
protein_239	1049700000	276680000	589710000	643660000	580740000	1530300000
protein_240	19512000	4993400	10935000	10397000	6391800	15509000
protein_241	8670600	2099100	15833000	10850000	3754400	32064000
protein_242	25636000	5645000	14695000	24276000	8205700	43641000
protein_243	3867500	1528400	2451000	3777700	14369000	3768500
protein_244	8930700	1442100	4892400	16579000	16938000	36864000
protein_245	23939000	8709200	27450000	61879000	33560000	132790000
protein_246	49150000	7905500	28789000	33425000	29388000	81053000
protein_247	31654000	12569000	15993000	43167000	51904000	83703000
protein_248	17167000	5573600	7886100	13344000	14249000	20124000
protein_249	28049000	4628100	13652000	9564600	10363000	21118000
protein_250	71421000	21865000	52925000	42241000	29749000	110130000
protein_251	114640000	57416000	101830000	122440000	141250000	325110000
protein_252	9989000	284960	7524300	1621100	993200	3223600
protein_253	104090000	45209000	24754000	70850000	80118000	98288000
protein_254	28855000	13660000	17764000	10399000	17528000	18112000
protein_255	47916000	17583000	55687000	20232000	35827000	90184000
protein_256	177440000	75557000	104650000	136360000	176010000	1322300000
protein_257	14418000	2914200	16972000	6171300	6223200	27445000
protein_258	21694000	6409300	12097000	19073000	21507000	23284000
protein_259	91578000	30937000	69429000	86021000	54613000	184920000
protein_260	36431000	49360000	28481000	41137000	11108000	46116000
protein_261	3530600	1403800	4131100	12228000	7456600	24566000
protein_262	144890000	22711000	65816000	69383000	89808000	133730000
protein_263	22060000	3334200	9400100	41311000	32016000	79930000
protein_264	10286000	0	3849600	10952000	0	22712000
protein_265	0	0	0	10801000	8244900	19461000
protein_266	210710000	38083000	60297000	517550000	734190000	885100000
protein_267	14319000	2697500	3323800	4105900	6718700	5010200
protein_268	3578400	18991000	2500100	8692500	1086900	106080000
protein_269	211510000	59569000	102520000	94670000	45731000	117650000
protein_270	44713000	36056000	61804000	58510000	35879000	131150000
protein_271	60073000	7663100	18650000	78588000	74094000	100440000
protein_272	13829000	2310800	8037200	6085000	7670600	14595000
protein_273	6208600	1808400	5915200	7565600	2682300	14071000
protein_274	31431000	1604300	2171600	6308300	10589000	3887900
protein_275	106090000	32940000	100740000	212100000	112360000	334980000
protein_276	322920000	68554000	113080000	182340000	210380000	239750000
protein_277	538800000	100570000	159050000	70288000	98463000	113250000
protein_278	31350000	11622000	28085000	25785000	33057000	72735000
protein_279	37815000	4396800	10197000	37538000	53171000	66349000
protein_280	23378000	2298800	12766000	14431000	11553000	32419000
protein_281	18730000	5124500	17421000	23591000	30731000	64094000
protein_282	8592300	954060	4907500	41765000	25926000	97285000
protein_283	16338000	1124700	12662000	11377000	7008800	23955000
protein_284	301180000	84232000	192790000	199580000	163040000	323100000
protein_285	322890000	85469000	245340000	246520000	194770000	571070000
protein_286	6327100	1304200	3844600	7766900	2669200	28609000
protein_287	34747000	6574800	20373000	76124000	37020000	130520000
protein_288	432840000	7896600	386160000	87994000	43880000	184610000
protein_289	38951000	6896400	27797000	33880000	21233000	71346000
protein_290	422710000	116370000	314030000	254590000	154830000	553350000
protein_291	8855700000	7152600	7244500000	4685500000	7100900000	5925100000
protein_292	9610100	1563500	8418100	11192000	8325500	22535000
protein_293	688650000	159630000	123020000	218840000	268810000	220760000
protein_294	18758000	3647400	19074000	64098000	45916000	103050000
protein_295	2138100000	575470000	1778500000	1696900000	1042300000	3777000000
protein_296	1131600000	272030000	663450000	874140000	618100000	1408400000
protein_297	1319900000	280750000	538950000	371070000	491340000	516840000
protein_298	306410000	79462000	206840000	198560000	171960000	411850000
protein_299	2903900000	962070000	1899400000	3336600000	3032100000	6427800000
protein_300	8349700	0	0	11470000	8772700	12477000
protein_301	49777000	24606000	21651000	31301000	23413000	25787000
protein_302	20825000	3112500	14552000	18679000	6652500	47203000
protein_303	5679900	4213100	8211600	6940300	3493600	14559000
protein_304	155660000	20386000	53087000	122070000	153490000	245140000
protein_305	37606000	23831000	64830000	919960000	834340000	1375800000
protein_306	1146000	2825700	5574400	97400000	60181000	158770000
protein_307	47175000	23830000	43091000	2285800	646520	9956300
protein_308	31808000	25473000	23026000	49487000	31894000	54187000
protein_309	110310000	40960000	48301000	45305000	74394000	79384000
protein_310	7866800	6482100	7548500	5317700	2693800	15017000
protein_311	358790000	294330000	125280000	340320000	329430000	227540000
protein_312	174750000	37837000	72877000	73429000	78880000	111460000
protein_313	96414000	49431000	132270000	306110000	377900000	640150000
protein_314	62366000	8877600	23909000	34998000	34137000	52644000
protein_315	6052600	1537100	8061800	28272000	16884000	59082000
protein_316	42641000	12199000	47830000	95263000	70333000	205910000
protein_317	2333700	910220	5792100	23026000	13351000	47312000
protein_318	6892900	1325900	8345500	47070000	27713000	87400000
protein_319	20187000000	6370000000	7652100000	13353000000	22391000000	20032000000
protein_320	258050000	66903000	135120000	122100000	112950000	170290000
protein_321	305270000	68554000	191140000	153430000	129020000	331470000
protein_322	90437000	24380000	58472000	45999000	32606000	87791000
protein_323	32259000	8061300	7838900	6208500	7395400	6760000
protein_324	239360000	73851000	150240000	87170000	51149000	173260000
protein_325	24630000	34763000	27133000	26293000	13815000	37098000
protein_326	42189000	1316300	5825400	13156000	18688000	8621000
protein_327	87786000	10341000	38354000	89890000	84236000	133940000
protein_328	26125000	5110100	11077000	13866000	17351000	45906000
protein_329	113040000	24873000	98326000	68489000	65629000	151760000
protein_330	103650000	64400000	39332000	653270000	449010000	473340000
protein_331	242530000	51578000	61315000	303940000	310880000	414710000
protein_332	19746000	14863000	8617200	9688500	22592000	7052500
protein_333	19894000	4460200	15768000	36114000	30526000	66147000
protein_334	210980000	81295000	223780000	337820000	195630000	704360000
protein_335	24843000	6252700	18980000	29270000	20388000	72817000
protein_336	35341000	8210300	28078000	37992000	17459000	67214000
protein_337	0	3465400	7796400	5081500	4772100	13852000
protein_338	16482000	3397700	9143200	21678000	15304000	36367000
protein_339	339520000	162050000	130190000	208330000	207960000	233400000
protein_340	207030000	32332000	83026000	62154000	34724000	103770000
protein_341	199380000	35707000	111620000	260810000	334260000	688760000
protein_342	277200000	60499000	145420000	243450000	201700000	471760000
protein_343	248250000	86805000	199810000	8509200	2782400	8291600
protein_344	2019400000	234820000	407750000	420780000	575250000	560810000
protein_345	350210000	51127000	118460000	288470000	336230000	417890000
protein_346	5240700	6256000	3538600	12222000	37095000	25802000
protein_347	10178000	1285000	11081000	8148600	22958000	26499000
protein_348	454210000	76452000	248420000	314120000	347790000	645110000
protein_349	73209000	14509000	55456000	74713000	46803000	196010000
protein_350	21542000	3620300	7616000	20092000	20995000	34057000
protein_351	67201000	15028000	106460000	133000000	82824000	325650000
protein_352	13899000	4168800	471100	25128000	14472000	46574000
protein_353	38588000	12712000	28466000	30386000	21688000	59122000
protein_354	158560000	42211000	107470000	102380000	72884000	203330000
protein_355	2622900	323620	1283800	13242000	18019000	22420000
protein_356	24388000	1279800	12192000	139510000	215200000	266940000
protein_357	78385000	25657000	61802000	71783000	39856000	146020000
protein_358	24233000	9726300	15762000	15359000	20649000	34704000
protein_359	306040000	82030000	196670000	224900000	146030000	404460000
protein_360	8159500	1688200	6623200	9506300	18074000	15003000
protein_361	2785400	2003000	7111700	6531200	995150	9043900
protein_362	94243000	25879000	60621000	79477000	66323000	211450000
protein_363	9693800	925670	9142300	25965000	11011000	37827000
protein_364	300860000	119950000	201280000	476070000	469900000	660270000
protein_365	16825000	3855200	12316000	33681000	23359000	49508000
protein_366	24711000	4958700	18914000	44273000	20084000	89616000
protein_367	36170000	4568700	20447000	64754000	42081000	70983000
protein_368	117640000	26614000	65783000	56673000	36417000	69586000
protein_369	12441000	8794200	22360000	21034000	13557000	49449000
protein_370	10462000	4124700	6820000	1924500	2526600	4941600
protein_371	12459000	1673500	12934000	4704500	2408900	8977400
protein_372	398140000	98407000	237080000	304690000	222370000	591280000
protein_373	0	0	0	2394500	0	62777000
protein_374	14302000	1914700	4518600	18974000	12384000	32322000
protein_375	5224500000	471580000	1196200000	2096500000	1235400000	3353700000
protein_376	79175000	13176000	40075000	113000000	74352000	152490000
protein_377	29784000	3523100	13019000	53133000	46342000	72725000
protein_378	11066000	1943300	19501000	12290000	7056900	31845000
protein_379	115460000	23380000	50780000	80668000	74401000	175040000
protein_380	723480000	135330000	326140000	621420000	517120000	1427400000
protein_381	211620000	49100000	156620000	268830000	241640000	571390000
protein_382	43069000	6257800	37887000	143550000	86012000	269220000
protein_383	70324000	17272000	54830000	157760000	255010000	518380000
protein_384	57203000	55065000	43328000	156650000	243370000	220710000
protein_385	74002000	25040000	27579000	209880000	186160000	232760000
protein_386	160420000	48068000	147400000	459810000	296440000	867150000
protein_387	54243000	18157000	37606000	136730000	113520000	234690000
protein_388	87655000	22072000	62394000	167790000	100970000	291480000
protein_389	23858000	10376000	20313000	69305000	64093000	74916000
protein_390	127980000	35892000	94115000	188110000	159800000	307070000
protein_391	137220000	38277000	95311000	188570000	166010000	328480000
protein_392	523240000	97165000	103880000	318040000	199190000	212130000
protein_393	8435200	2428200	4996900	12058000	17551000	22827000
protein_394	5118000	1546300	6431600	16304000	6991900	38950000
protein_395	117080000	30212000	81156000	52818000	49815000	134210000
protein_396	225290000	71949000	80701000	215730000	196440000	519180000
protein_397	352840000	103790000	276130000	225950000	188090000	355510000
protein_398	4791500	5559300	3059400	1913000	8399300	16059000
protein_399	163360000	35108000	134750000	172320000	99303000	366760000
protein_400	33936000	33544000	24132000	12341000	41428000	49637000
protein_401	136340000	28447000	53463000	42277000	52915000	110060000
protein_402	82146000	20126000	52751000	125700000	98883000	331030000
protein_403	666200000	275990000	597930000	605930000	448010000	1196700000
protein_404	3142000000	545670000	1554900000	2133900000	2216500000	3857600000
protein_405	1572800000	465800000	1233700000	1684300000	1067300000	3408800000
protein_406	1297600000	328640000	1035300000	1019400000	523330000	1802600000
protein_407	41210000	16041000	15659000	29894000	49275000	39255000
protein_408	12280000	3767000	9840700	8611400	7787900	28959000
protein_409	133070000	46448000	77921000	125540000	90659000	173620000
protein_410	26140000	3901800	12076000	25642000	18391000	56547000
protein_411	50107000	42420000	44868000	113720000	101290000	312920000
protein_412	8499100	3867700	4768200	6616400	15107000	10184000
protein_413	13539000	3117600	5796300	10299000	12956000	15441000
protein_414	328580000	53411000	261220000	266650000	161650000	718680000
protein_415	22935000	5259000	13343000	27338000	22063000	46942000
protein_416	19582000	8335600	11162000	5306100	11969000	10279000
protein_417	21537000	14904000	17329000	24228000	21388000	42879000
protein_418	4758200	1307900	6430000	3255400	3213600	8556800
protein_419	38205000	8630400	21565000	24354000	27688000	57726000
protein_420	67495000	13633000	34419000	50026000	38150000	141690000
protein_421	195070000	1396400	4636900	12952000	2116500	5862100
protein_422	11387000	3817200	8874100	9485500	6336800	26322000
protein_423	1295600000	551300000	416340000	647530000	749850000	920190000
protein_424	70422000	14934000	43713000	182970000	148970000	370920000
protein_425	28096000	4268300	17917000	188420000	177390000	376690000
protein_426	38348000	8722000	18115000	31442000	23884000	61362000
protein_427	46457000	16206000	26046000	18795000	11100000	34611000
protein_428	58414000	37034000	30782000	151600000	98596000	169810000
protein_429	24343000	13176000	25326000	57254000	26436000	70935000
protein_430	29539000	11285000	11776000	30697000	27826000	41612000
protein_431	6623900	2511700	6833900	436280000	206550000	802140000
protein_432	17343000	4010300	1668200	1100100	24255000	14554000
protein_433	432700000	127360000	308320000	101100000	66509000	172870000
protein_434	440580000	87848000	231380000	70084000	43272000	88790000
protein_435	80369000	18188000	27161000	140440000	176750000	191720000
protein_436	84404000	21014000	19252000	116460000	176050000	140350000
protein_437	17491000	4620600	13951000	9946000	2101500	25202000
protein_438	4866600	1229200	4180400	9119800	5499100	20986000
protein_439	28544000	4403000	8130800	26235000	20216000	51799000
protein_440	10684000	3429000	3613200	5257100	3727900	8436200
protein_441	105870000	15238000	39872000	293030000	232200000	457940000
protein_442	17712000	5484400	16405000	41100000	20540000	102900000
protein_443	32681000	2320700	9506100	88625000	99342000	107710000
protein_444	107030000	30798000	100660000	214620000	110090000	365740000
protein_445	522830000	138730000	385730000	477300000	473770000	1174200000
protein_446	7558400	843330	672270	9843200	8509300	8138900
protein_447	278280000	27894000	79051000	132950000	222410000	187770000
protein_448	285220000	44309000	133980000	214150000	191900000	563990000
protein_449	17387000	3585900	7332700	16068000	6387800	22672000
protein_450	60698000	15193000	33241000	91715000	85892000	144980000
protein_451	102220000	35888000	59585000	111560000	84988000	166790000
protein_452	193380000	52048000	104640000	162090000	184090000	300500000
protein_453	51430000	15941000	46627000	66148000	57893000	135370000
protein_454	306720000	54613000	201620000	329080000	198510000	635360000
protein_455	218640000	25935000	42460000	59913000	108370000	100760000
protein_456	14983000	26037000	13438000	24326000	18891000	50885000
protein_457	151090000	5760100	72796000	17996000	445360000	41331000
protein_458	37627000	9671300	19801000	26961000	24427000	39933000
protein_459	1076700000	144300000	82933000	688500000	1004600000	399440000
protein_460	23312000	3010300	20211000	30027000	10029000	58410000
protein_461	1470300	0	1857300	667690000	219450	1673800000
protein_462	41253000	8286000	28358000	58849000	53812000	86153000
protein_463	9301200	1768100	5713000	18571000	5464700	21482000
protein_464	7581600	3486300	9730200	15886000	5652300	24112000
protein_465	22404000	4325500	15940000	26786000	13770000	36000000
protein_466	17505000	22491000	56548000	17337000	16060000	71127000
protein_467	54388000	14140000	36281000	65100000	52387000	95890000
protein_468	129930000	27013000	108730000	214310000	118800000	354300000
protein_469	91622000	18929000	51457000	68362000	58531000	128550000
protein_470	126640000	31282000	66916000	111130000	90597000	167000000
protein_471	414540000	122580000	267480000	337580000	314870000	563030000
protein_472	2594800000	539090000	294390000	1193300000	1104300000	1321500000
protein_473	19989000	2697000	10252000	8685500	12198000	13545000
protein_474	17546000	7561600	34911000	48381000	16118000	129740000
protein_475	44435000	10384000	41279000	34752000	28095000	78667000
protein_476	6607400	2835300	2880500	6158200	17511000	11828000
protein_477	34728000	10463000	34379000	65762000	39495000	128720000
protein_478	219830000	84565000	230030000	205690000	157300000	451350000
protein_479	274250000	86028000	223860000	300790000	276640000	619410000
protein_480	6105900	137450	1155100	11151000	9599200	14902000
protein_481	9927400	8438100	21208000	33735000	46198000	45416000
protein_482	366380000	125330000	289970000	691550000	576860000	1523800000
