Protein_Gene	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
protein_714	3122300	47509000	2098500	5905600	2513700	11764000
protein_715	119680000	26682000	101460000	154110000	91347000	322950000
protein_716	21990000	2680200	7732400	5167600	13633000	12847000
protein_717	221950000	61022000	135040000	202150000	155620000	333100000
protein_718	113350000	27229000	74449000	65683000	35628000	116140000
protein_719	32160000	10857000	32511000	31918000	13261000	65435000
protein_720	3268600	1268400	3191100	8277500	4456600	34649000
protein_721	197020000	36429000	110760000	110630000	170150000	288090000
protein_722	998640000	232200000	485010000	364620000	445150000	829880000
protein_723	53420000	5886100	10815000	15101000	34390000	39038000
protein_724	169750000	54495000	117800000	140220000	130370000	300980000
protein_725	27514000	2959500	11240000	13990000	12291000	23543000
protein_726	1986100000	543120000	1294100000	399450000	306810000	742760000
protein_727	21819000	9685400	13578000	13874000	30966000	36618000
protein_728	7797100	2579100	5356500	4334900	8241300	18198000
protein_729	32022000	14412000	36732000	100200000	78985000	162130000
protein_730	44671000	13002000	30082000	30714000	20410000	40511000
protein_731	115630000	16752000	81102000	95889000	55706000	169910000
protein_732	14272000	4537000	15647000	14453000	5854600	171620000
protein_733	291820000	76600000	288420000	567260000	380210000	1105300000
protein_734	53884000	15684000	36140000	214410000	213120000	485870000
protein_735	1393500000	442700000	1073300000	1178400000	706890000	2291500000
protein_736	376520000	99685000	252670000	259180000	170960000	586810000
protein_737	25945000	6226800	26177000	27917000	16386000	82766000
protein_738	15845000	2460900	20568000	21016000	14484000	61045000
protein_739	191320000	81781000	147930000	192420000	151070000	262070000
protein_740	10926000	2315400	5297800	8705800	2270800	11343000
protein_741	430290000	120630000	269130000	356070000	245190000	483130000
protein_742	227560000	61767000	140950000	192770000	116300000	289990000
protein_743	99248000	24340000	28287000	22862000	36434000	37962000
protein_744	33439000	10156000	44623000	53447000	59570000	135450000
protein_745	3169600000	1099500000	1283300000	1094700000	845570000	1834200000
protein_746	961130000	279010000	611710000	799290000	610750000	1400300000
protein_747	65687000	7617200	13584000	19599000	23864000	28260000
protein_748	475880000	134690000	219190000	215040000	183080000	250880000
protein_749	6888600	134610	476720	8823200	3696600	6281600
protein_750	274510000	73321000	163410000	327060000	273260000	689420000
protein_751	17851000	5249700	8344600	14377000	15260000	13335000
